exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
ZA8b5hc,Kettlebell Goblet Squat,2,kettlebell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/ZA8b5hc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell close to your chest with both hands. | Step:2 Keeping your chest up and core engaged, lower your body down into a squat position by bending at the knees and hips. | Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. | Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,8.5,8.0,6.0,5.0,3.0,4.5
DOoWcnA,Lever Chest Press,2,leverage machine,pectorals,"triceps, shoulders",chest,3,https://static.exercisedb.dev/media/DOoWcnA.gif,"Step:1 Adjust the seat height and position yourself on the machine with your back flat against the pad. | Step:2 Grasp the handles with an overhand grip and position your elbows at a 90-degree angle. | Step:3 Push the handles forward until your arms are fully extended, exhaling during the movement. | Step:4 Pause briefly at the end of the movement, then slowly return to the starting position, inhaling as you do so. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.0,8.0,6.0,5.0,3.0,4.5
F3xgbjF,Dumbbell Incline Biceps Curl,2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/F3xgbjF.gif,"Step:1 Sit on an incline bench with a dumbbell in each hand, palms facing forward, and arms fully extended. | Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. | Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
ZZTGMKh,One Arm Against Wall,2,body weight,lats,"shoulders, triceps",back,3,https://static.exercisedb.dev/media/ZZTGMKh.gif,"Step:1 Stand facing a wall with your feet shoulder-width apart. | Step:2 Extend one arm straight out in front of you and place your palm against the wall. | Step:3 Engage your core and lean your body forward, keeping your arm straight and your back flat. | Step:4 Slowly push against the wall with your palm, activating your lat muscles. | Step:5 Hold the position for a few seconds, then release and repeat with the other arm.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
T2fA5Ir,Squat On Bosu Ball,3,bosu ball,quads,"glutes, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/T2fA5Ir.gif,"Step:1 Place the bosu ball on the ground with the flat side up. | Step:2 Stand with your feet shoulder-width apart and position yourself on top of the bosu ball. | Step:3 Lower your body down by bending your knees and hips, as if sitting back into a chair. | Step:4 Keep your chest up and your weight on your heels. | Step:5 Lower yourself until your thighs are parallel to the ground. | Step:6 Pause for a moment, then push through your heels to return to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,6.0,7.0,7.0,6.0,5.0,5.4
x6KpKpq,Close-Grip Push-Up,2,body weight,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/x6KpKpq.gif,"Step:1 Start in a high plank position with your hands placed close together, directly under your shoulders. | Step:2 Engage your core and lower your body towards the ground, keeping your elbows close to your sides. | Step:3 Push through your palms to extend your arms and return to the starting position. | Step:4 Repeat for the desired number of repetitions.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
84RyJf8,Dumbbell One Arm Shoulder Press,2,dumbbell,delts,"triceps, upper back",shoulders,3,https://static.exercisedb.dev/media/84RyJf8.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand at shoulder level, palm facing forward. | Step:2 Press the dumbbell upward until your arm is fully extended overhead. | Step:3 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. | Step:4 Repeat for the desired number of repetitions, then switch to the other arm.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,8.5,8.0,6.0,5.0,3.0,4.5
UKWTJWR,Cable Standing Up Straight Crossovers,2,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/UKWTJWR.gif,"Step:1 Stand in the middle of a cable machine with your feet shoulder-width apart. | Step:2 Hold the handles of the cables with your palms facing down and your arms extended straight out to the sides. | Step:3 Keeping your arms straight, bring your hands together in front of your body, crossing them over each other. | Step:4 Pause for a moment, then slowly return to the starting position, keeping your arms extended. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
obe5LMq,Band Side Triceps Extension,1,band,triceps,shoulders,upper arms,2,https://static.exercisedb.dev/media/obe5LMq.gif,"Step:1 Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. | Step:2 Extend your arms straight out to the sides, keeping them parallel to the ground. | Step:3 Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. | Step:4 Pause for a moment, then slowly extend your arms back out to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
IpONWYv,Dumbbell Side Bend,2,dumbbell,abs,obliques,waist,2,https://static.exercisedb.dev/media/IpONWYv.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side. | Step:2 Keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can. | Step:3 Pause for a moment, then slowly return to the starting position. | Step:4 Repeat for the desired number of repetitions, then switch sides and repeat.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
H6ybluc,Dumbbell Single Leg Squat,3,dumbbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/H6ybluc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. | Step:2 Extend one leg forward and keep it off the ground throughout the exercise. | Step:3 Bend your standing leg and lower your body down as if sitting back into a chair. | Step:4 Keep your chest up and your back straight. | Step:5 Pause for a moment at the bottom, then push through your heel to return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch legs.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,7.5,7.0,7.0,6.0,5.0,5.4
REXmfVC,Sledge Hammer,2,hammer,abs,"forearms, shoulders",waist,3,https://static.exercisedb.dev/media/REXmfVC.gif,"Step:1 Stand with your feet shoulder-width apart and hold the sledge hammer with both hands. | Step:2 Engage your core and keep your back straight. | Step:3 Swing the sledge hammer down towards the ground, using your core and upper body strength. | Step:4 As you swing down, pivot your hips and transfer the force to the hammer. | Step:5 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,5.0,3.0,0.0
DhMl549,Barbell Full Squat (Back Pov),4,barbell,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/DhMl549.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. | Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. | Step:3 Engage your core and keep your chest up as you begin to lower your body down. | Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. | Step:5 Lower your body until your thighs are parallel to the ground or slightly below. | Step:6 Keep your knees in line with your toes and your weight in your heels. | Step:7 Drive through your heels to stand back up, extending your hips and knees. | Step:8 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,3.0,6.0,6.0,8.0,7.0,4.5
72BC5Za,Archer Pull Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/72BC5Za.gif,"Step:1 Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. | Step:2 Engage your core and pull your shoulder blades down and back. | Step:3 As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. | Step:4 Continue pulling until your chin is above the bar and your bent arm is fully flexed. | Step:5 Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. | Step:6 Alternate sides with each repetition.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
qRZ5S1N,Cable One Arm Tricep Pushdown,4,cable,triceps,forearms,upper arms,2,https://static.exercisedb.dev/media/qRZ5S1N.gif,"Step:1 Stand facing a cable machine with a straight bar attachment at chest height. | Step:2 Grasp the bar with an overhand grip and step back to create tension in the cable. | Step:3 Position your feet shoulder-width apart and slightly bend your knees. | Step:4 Keep your back straight and core engaged throughout the exercise. | Step:5 Start with your arm fully extended and perpendicular to the floor. | Step:6 Keeping your upper arm stationary, exhale and push the bar down until your arm is fully extended. | Step:7 Pause for a moment, then inhale and slowly return to the starting position. | Step:8 Repeat for the desired number of repetitions, then switch arms.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,3.0,6.0,6.0,8.0,7.0,2.9
PnZJIrk,Assisted Wide-Grip Chest Dip (Kneeling),2,leverage machine,pectorals,"triceps, shoulders",chest,3,https://static.exercisedb.dev/media/PnZJIrk.gif,Step:1 Adjust the machine to your desired height and secure your knees on the pad. | Step:2 Grasp the handles with a wide grip and keep your elbows slightly bent. | Step:3 Lower your body by bending your elbows until your upper arms are parallel to the floor. | Step:4 Push yourself back up to the starting position by extending your arms. | Step:5 Repeat for the desired number of repetitions.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,5.0,3.0,0.0
H1PESYI,Stationary Bike Run,4,stationary bike,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/H1PESYI.gif,Step:1 Adjust the seat height and position to ensure proper alignment. | Step:2 Place your feet on the pedals and secure them with the straps if available. | Step:3 Start pedaling at a comfortable pace. | Step:4 Maintain a steady rhythm and increase the resistance as desired. | Step:5 Engage your core muscles to maintain stability and proper posture. | Step:6 Continue pedaling for the desired duration of your workout. | Step:7 Gradually decrease the resistance and slow down before coming to a complete stop. | Step:8 Stretch your legs and cool down after the workout.,9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,3.0,5.0,6.0,7.0,6.0,2.3
KXyoEtA,Dumbbell Seated Inner Biceps Curl,1,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/KXyoEtA.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. | Step:2 Rest your upper arms on your thighs, allowing the dumbbells to hang down. | Step:3 Keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps. | Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
CHpahtl,Lever Seated Hip Abduction,3,leverage machine,abductors,"glutes, hamstrings",upper legs,3,https://static.exercisedb.dev/media/CHpahtl.gif,"Step:1 Adjust the seat height so that your knees are at a 90-degree angle. | Step:2 Sit on the machine with your back against the backrest and your feet on the footrests. | Step:3 Place your hands on the side handles for stability. | Step:4 Engage your abductors and slowly push your legs apart, away from the midline of your body. | Step:5 Pause for a moment at the end of the movement, then slowly bring your legs back together to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,0.0
LQFOrMn,Chest Dip On Straight Bar,2,body weight,pectorals,"triceps, shoulders",chest,3,https://static.exercisedb.dev/media/LQFOrMn.gif,Step:1 Grab the parallel bars with your palms facing down and your arms fully extended. | Step:2 Bend your knees and cross your ankles. | Step:3 Lower your body by bending your arms until your shoulders are below your elbows. | Step:4 Push yourself back up to the starting position by straightening your arms. | Step:5 Repeat for the desired number of repetitions.,0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
33AzZeV,Barbell Front Raise And Pullover,2,barbell,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/33AzZeV.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. | Step:2 Keep your arms straight and raise the barbell in front of you until it reaches shoulder height. | Step:3 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Step:4 Next, lower the barbell behind your head, keeping your arms straight. | Step:5 Pause for a moment at the bottom, then raise the barbell back up to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
OeL23VY,Dumbbell Seated Biceps Curl To Shoulder Press,2,dumbbell,biceps,shoulders,upper arms,2,https://static.exercisedb.dev/media/OeL23VY.gif,"Step:1 Sit on a bench with your back straight and feet flat on the ground. | Step:2 Hold a dumbbell in each hand with your palms facing forward and arms fully extended. | Step:3 Keeping your elbows close to your sides, curl the dumbbells up towards your shoulders. | Step:4 Once your forearms are vertical, rotate your wrists so that your palms are facing forward. | Step:5 Press the dumbbells overhead until your arms are fully extended. | Step:6 Lower the dumbbells back down to the starting position by reversing the movement. | Step:7 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
SGY8Zui,Barbell Clean And Press,4,barbell,quads,"hamstrings, glutes, shoulders, triceps",upper legs,5,https://static.exercisedb.dev/media/SGY8Zui.gif,"Step:1 Stand with your feet shoulder-width apart and the barbell on the floor in front of you. | Step:2 Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:3 Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body. | Step:4 As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest. | Step:5 As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up. | Step:6 From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up. | Step:7 Lower the barbell back down to the starting position and repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,5.0,6.0,8.0,7.0,5.1
MrgP9L6,Lever Rotary Calf,3,leverage machine,calves,"soleus, ankle stabilizers",lower legs,3,https://static.exercisedb.dev/media/MrgP9L6.gif,"Step:1 Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate. | Step:2 Place your toes on the footplate, with your heels hanging off the edge. | Step:3 Grasp the handles or the sides of the machine for stability. | Step:4 Push through the balls of your feet, raising your heels as high as possible. | Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,0.0
82LxxkW,Barbell Wrist Curl,1,barbell,forearms,"biceps, brachialis",lower arms,3,https://static.exercisedb.dev/media/82LxxkW.gif,"Step:1 Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, holding a barbell with an underhand grip. | Step:2 Allow the barbell to roll down to your fingertips, keeping your wrists straight. | Step:3 Slowly curl the barbell up towards your forearms by flexing your wrists. | Step:4 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.0,7.0,5.0,4.0,4.0,4.5
RtyAsy1,Arms Apart Circular Toe Touch (Male),2,body weight,glutes,"hamstrings, quadriceps, calves",upper legs,4,https://static.exercisedb.dev/media/RtyAsy1.gif,"Step:1 Stand with your feet shoulder-width apart and arms extended to the sides. | Step:2 Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand. | Step:3 As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance. | Step:4 Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you. | Step:5 Continue alternating sides for the desired number of repetitions.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
VPPtusI,Inverted Row Bent Knees,3,body weight,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/VPPtusI.gif,"Step:1 Set up a bar at waist height and lie underneath it. | Step:2 Grab the bar with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Position your body so that your heels are on the ground and your body is straight. | Step:4 Pull your chest up towards the bar by squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
GNhAeJ0,Dumbbell Hammer Curls (With Arm Blaster),3,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/GNhAeJ0.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your torso. | Step:2 Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. | Step:3 This will be your starting position. | Step:4 Now, while holding your upper arm stationary, exhale and curl the weights while contracting your biceps. | Step:5 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:6 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:7 Then, inhale and slowly begin to lower the dumbbells back to the starting position. | Step:8 Repeat for the recommended amount of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,7.5,7.0,7.0,6.0,5.0,2.9
